"RefDes","Value","Name","Manufacturer","Quantity"
"C1, C3","47n","CAP100","","2"
"C2, C4, C10","1n","CAP100","","3"
"C5, C6, C7, C8, C11, C12, C13, C14, C15, C16, C17","100n","CAP100","","11"
"C9","10n","CAP100","","1"
"C18, C19","10u 25V","EC80-5","","2"
"D1, D2","","1N4001","","2"
"FB1, FB2","68R","Ferrite Bead","Fair-Rite","2"
"J1","","EUROPWR16","","1"
"J2","VERT","WQP-PJ398SM","Wenzhou QingPu Electronics Co., Ltd","1"
"J3","HORIZ","WQP-PJ398SM","Wenzhou QingPu Electronics Co., Ltd","1"
"J4","SYNC OUT","WQP-PJ398SM","Wenzhou QingPu Electronics Co., Ltd","1"
"Q1, Q2","","2N3819","ON Semiconductor","2"
"R1, R3, R7, R11, R13, R17, R19, R26, R28, R30, R33, R34, R35, R37, R38, R39, R41, R42, R43, R44, R45, R46","10K","RES300","","22"
"R2, R12, R27","20K","RES300","","3"
"R4, R25","4.7K","RES300","","2"
"R5, R6, R9, R10, R14, R18, R21","1K","RES300","","7"
"R8","120K","RES300","","1"
"R15","24K","RES300","","1"
"R16, R23, R31","100K","RES300","","3"
"R20","15K","RES300","","1"
"R22","2.7K","RES300","","1"
"R24","47K","RES300","","1"
"R36, R40","470K","RES300","","2"
"R10-MIXA, R18-MIXB, R32-MIXD","B10K","ALPHA9V","Alpha","3"
"R14-FREQB, R21-FREQC, R29-FREQD","1M","ALPHA9V","Alpha","3"
"S1","WAVEA","7101K2CBE","C&K","1"
"S2","WAVEB","7101K2CBE","C&K","1"
"S3","WAVEC","7101K2CBE","C&K","1"
"S4","WAVED","7101K2CBE","C&K","1"
"S5","SYNCB","7101K2CBE","C&K","1"
"S6","SYNCD","7101K2CBE","C&K","1"
"U1, U2, U3","","TL074J","Texas Instruments","3"
"U4","","TL072P","Texas Instruments","1"
"","","","","89"
